RK,Player,Ht,From,To,Tm,Lg,G#,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,Handed,COLOR
1,John Stockton\stockjo01,6-1,1985,2003,UTA,NBA,1504,1300,47764,7039,13658,6194,11455,845,2203,4788,5796,966,3085,4051,15806,3265,315,4244,3942,19711,.515,.541,.384,.546,.826,.608,R,50
2,Karl Malone\malonka01,6-9,1986,2004,TOT,NBA,1476,1471,54852,13528,26210,13443,25900,85,310,9787,13188,3562,11406,14968,5248,2085,1145,4524,4578,36928,.516,.519,.274,.518,.742,.577,R,50
3,Kevin Garnett\garneke01,6-11,1996,2016,TOT,NBA,1462,1425,50418,10505,21142,10331,20510,174,632,4887,6190,3209,11453,14662,5445,1859,2037,3179,3561,26071,.497,.504,.275,.501,.789,.546,R,50
4,Kevin Willis\willike02,7-0,1985,2007,TOT,NBA,1424,891,38362,7095,14572,7055,14382,40,190,3023,4238,4132,7769,11901,1328,958,750,2520,4172,17253,.487,.491,.211,.488,.713,.525,R,50
5,Tim Duncan\duncati01,6-11,1998,2016,SAS,NBA,1392,1389,47368,10285,20334,10255,20166,30,168,5896,8468,3859,11232,15091,4225,1025,3020,3381,3304,26496,.506,.509,.179,.507,.696,.551,R,50
6,Jason Kidd\kiddja01,6-4,1995,2013,TOT,NBA,1391,1350,50111,6219,15557,4231,9856,1988,5701,3103,3954,1768,6957,8725,12091,2684,450,4003,2572,17529,.400,.429,.349,.464,.785,.507,R,50
7,Reggie Miller\millere01,6-7,1988,2005,IND,NBA,1389,1304,47619,8241,17499,5681,11013,2560,6486,6237,7026,883,3299,4182,4141,1505,299,2409,2730,25279,.471,.516,.395,.544,.888,.614,R,50
8,Clifford Robinson\robincl02,6-10,1990,2007,TOT,NBA,1380,844,42561,7389,16875,6136,13360,1253,3515,3560,5165,1852,4454,6306,3094,1402,1390,2502,4175,19591,.438,.459,.356,.475,.689,.512,R,50
9,Dirk Nowitzki\nowitdi01,7-0,1999,2017,DAL,NBA,1366,1335,47915,10517,22229,8777,17667,1740,4562,7057,8028,1431,9261,10692,3453,1142,1200,2397,3318,29831,.473,.497,.381,.512,.879,.579,R,50
10,Kobe Bryant\bryanko01,6-6,1997,2016,LAL,NBA,1346,1198,48637,11719,26200,9892,20654,1827,5546,8378,10011,1499,5548,7047,6306,1944,640,4010,3353,33643,.447,.479,.329,.482,.837,.550,R,50
11,Gary Payton\paytoga01,6-4,1991,2007,TOT,NBA,1335,1233,47117,8708,18698,7576,15128,1132,3570,3265,4480,1392,3877,5269,8966,2445,285,3030,3217,21813,.466,.501,.317,.496,.729,.528,R,50
12,Paul Pierce\piercpa01,6-7,1999,2017,TOT,NBA,1331,1285,45756,8655,19436,6517,13636,2138,5800,6916,8575,1091,6406,7497,4700,1751,743,3524,3628,26364,.445,.478,.369,.500,.807,.568,R,50
13,Jason Terry\terryja01,6-2,2000,2017,TOT,NBA,1330,675,40626,6804,15324,4596,9502,2208,5822,2752,3256,491,2683,3174,5322,1541,255,2374,2483,18568,.444,.484,.379,.516,.845,.554,R,50
14,Vince Carter\cartevi01,6-6,1999,2017,TOT,NBA,1321,954,42475,8810,20120,6804,14739,2006,5381,4726,5917,1579,4487,6066,4463,1399,799,2449,3612,24352,.438,.462,.373,.488,.799,.536,R,50
15,Buck Williams\willibu01,6-8,1982,1998,TOT,NBA,1307,1140,42464,6404,11661,6399,11631,5,30,3971,5979,4526,8491,13017,1646,1080,1100,2784,4267,16784,.549,.550,.167,.549,.664,.587,R,50
